,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,6,18.0,9,16.46,2.06
6,2020-04-06 01:00:00,6,17.0,9,11.03,2.06
12,2020-04-06 02:00:00,6,18.0,9,17.5,2.04
18,2020-04-06 03:00:00,6,14.0,9,17.3,2.0
24,2020-04-06 04:00:00,6,17.0,9,11.95,1.94
30,2020-04-06 05:00:00,6,14.0,9,16.13,1.87
39,2020-04-06 06:00:00,6,15.0,9,12.54,1.83
45,2020-04-06 16:00:00,6,21.0,9,13.84,1.84
48,2020-04-06 17:00:00,6,16.0,9,12.01,1.9
54,2020-04-06 18:00:00,6,19.0,9,13.15,1.96
60,2020-04-06 19:00:00,6,19.0,9,16.4,2.01
66,2020-04-06 20:00:00,6,18.0,9,17.0,2.03
72,2020-04-06 21:00:00,6,19.0,9,14.71,2.05
78,2020-04-06 22:00:00,6,16.0,9,17.89,2.05
84,2020-04-06 23:00:00,6,17.0,9,14.74,2.05
90,2020-04-07 00:00:00,6,17.0,9,17.99,2.05
96,2020-04-07 01:00:00,6,19.0,9,12.2,2.05
102,2020-04-07 02:00:00,6,17.0,9,14.01,2.05
108,2020-04-07 03:00:00,6,19.0,9,12.22,2.05
114,2020-04-07 04:00:00,6,15.0,9,14.4,2.05
120,2020-04-07 05:00:00,6,18.0,9,10.24,2.05
126,2020-04-07 06:00:00,6,20.0,9,12.28,2.05
132,2020-04-07 07:00:00,6,16.0,9,11.03,2.05
138,2020-04-07 08:00:00,6,18.0,9,13.81,2.03
144,2020-04-07 09:00:00,6,17.0,9,14.58,2.01
150,2020-04-07 10:00:00,6,16.0,9,15.13,1.95
156,2020-04-07 11:00:00,6,16.0,9,16.79,1.87
163,2020-04-07 12:00:00,6,16.0,9,18.22,1.78
170,2020-04-07 13:00:00,6,19.0,6,17.13,1.73
173,2020-04-07 16:00:00,6,22.0,9,15.85,1.73
174,2020-04-07 17:00:00,6,18.0,9,16.64,1.8
180,2020-04-07 18:00:00,6,17.0,9,13.68,1.89
186,2020-04-07 19:00:00,6,18.0,9,15.94,1.97
192,2020-04-07 20:00:00,6,19.0,9,16.28,2.02
198,2020-04-07 21:00:00,6,22.0,9,13.53,2.04
204,2020-04-07 22:00:00,6,19.0,9,14.63,2.05
210,2020-04-07 23:00:00,6,18.0,9,13.49,2.05
216,2020-04-08 00:00:00,6,17.0,9,11.6,2.05
222,2020-04-08 01:00:00,6,16.0,9,13.48,2.04
228,2020-04-08 02:00:00,6,17.0,9,12.57,2.02
234,2020-04-08 03:00:00,6,16.0,9,16.44,1.98
240,2020-04-08 04:00:00,6,20.0,9,14.04,1.94
246,2020-04-08 05:00:00,6,18.0,9,13.91,1.93
257,2020-04-08 06:00:00,6,23.0,9,15.9,1.97
258,2020-04-08 07:00:00,6,19.0,9,13.59,2.01
